Day,Order,Target,Location,Fold Change,StDev
7,5,IFN-g,Ileum,1.891178764,1.014624151
7,6,IFN-g,Colon,1.511105378,1.119398681
7,1,IL-10,Duodenum,-2.896083917,0.008388484
7,2,IL-10,Prox Jejunum,-1.805427164,0.030284172
7,3,IL-10,Mid Jejunum,0.718623366,0.323731394
7,4,IL-10,Dist Jejunum,-1.798932319,0.083084628
7,5,IL-10,Ileum,0.016268185,0.22985369
7,6,IL-10,Colon,-1.423007481,0.112093852
7,1,IL-4,Duodenum,-2.095816786,0.04710843
7,2,IL-4,Prox Jejunum,-1.464170126,0.108494016
7,3,IL-4,Mid Jejunum,0.681745816,0.256950738
7,4,IL-4,Dist Jejunum,0.476335719,0.103979031
7,5,IL-4,Ileum,0.130752344,0.76829748
7,6,IL-4,Colon,-1.256641647,0.063415188
7,1,TLR-10,Duodenum,-1.173081169,0.27745349
7,2,TLR-10,Prox Jejunum,-3.700366235,0.035927233
7,3,TLR-10,Mid Jejunum,-0.891604505,0.07882712
7,4,TLR-10,Dist Jejunum,-0.795723917,0.093005588
7,5,TLR-10,Ileum,1.911457491,0.845419795
7,6,TLR-10,Colon,-1.789071294,0.049806111
7,1,TLR-2,Duodenum,-1.088460977,0.204021114
7,2,TLR-2,Prox Jejunum,-3.35565855,0.030821613
7,3,TLR-2,Mid Jejunum,-0.833328798,0.124296773
7,4,TLR-2,Dist Jejunum,-2.39327156,0.047335611
7,5,TLR-2,Ileum,0.007442895,0.626998881
7,6,TLR-2,Colon,-1.199816578,0.036837474
7,1,TLR-4,Duodenum,0.848802055,0.798835526
7,2,TLR-4,Prox Jejunum,-2.130120275,0.038318704
7,3,TLR-4,Mid Jejunum,-0.962849752,0.033717592
7,4,TLR-4,Dist Jejunum,-1.381843661,0.029242756
7,5,TLR-4,Ileum,0.291150091,0.32845141
7,6,TLR-4,Colon,-0.178601607,0.043427596
7,1,TNF-a,Duodenum,-1.093059954,0.154830548
7,2,TNF-a,Prox Jejunum,-2.030256452,0.015664808
7,3,TNF-a,Mid Jejunum,-0.591099105,0.044731945
7,4,TNF-a,Dist Jejunum,-0.3579471,0.18063023
7,5,TNF-a,Ileum,0.462073962,0.137572017
7,6,TNF-a,Colon,-0.738119925,0.044448673
21,1,IFN-g,Duodenum,0.680612172,1.235986647
21,2,IFN-g,Prox Jejunum,-0.787322978,0.035010207
21,3,IFN-g,Mid Jejunum,0.247129507,0.100599706
21,4,IFN-g,Dist Jejunum,0.965176791,1.003974965
21,5,IFN-g,Ileum,1.086815206,0.379936066
21,6,IFN-g,Colon,0.944637412,1.076949725
21,1,IL-10,Duodenum,-1.513483064,0.053220476
21,2,IL-10,Prox Jejunum,-1.162976846,0.048703183
21,3,IL-10,Mid Jejunum,-0.568566341,0.143143059
21,4,IL-10,Dist Jejunum,-0.076000759,0.351674457
21,5,IL-10,Ileum,2.046071769,0.474247357
21,6,IL-10,Colon,-1.081248744,0.085107332
21,1,IL-4,Duodenum,-0.669819234,0.161739623
21,2,IL-4,Prox Jejunum,-3.113238695,0.032154014
21,3,IL-4,Mid Jejunum,-0.488418928,0.188557092
21,4,IL-4,Dist Jejunum,-0.892921364,0.074636455
21,5,IL-4,Ileum,-1.458869588,0.124935931
21,6,IL-4,Colon,-1.808079222,0.016392527
21,1,TLR-10,Duodenum,-1.590138974,0.208146855
21,2,TLR-10,Prox Jejunum,-3.277090325,0.015725553
21,3,TLR-10,Mid Jejunum,-1.417854801,0.035859708
21,4,TLR-10,Dist Jejunum,-0.933141034,1.117254506
21,5,TLR-10,Ileum,2.661125433,2.335164738
21,6,TLR-10,Colon,-2.023397394,0.03157119
21,1,TLR-2,Duodenum,-1.404045974,0.131362389
21,2,TLR-2,Prox Jejunum,-2.955884894,0.021442831
21,3,TLR-2,Mid Jejunum,-1.63703378,0.056721655
21,4,TLR-2,Dist Jejunum,-1.48421028,0.472963209
21,5,TLR-2,Ileum,-0.03136184,1.110156931
21,6,TLR-2,Colon,-1.471624554,0.020575132
21,1,TLR-4,Duodenum,-0.238382613,0.071353828
21,2,TLR-4,Prox Jejunum,-1.421337054,0.027482981
21,3,TLR-4,Mid Jejunum,-0.836167759,0.032859612
21,4,TLR-4,Dist Jejunum,-0.590505207,0.176986522
21,5,TLR-4,Ileum,0.314914441,0.309852014
21,6,TLR-4,Colon,0.132114333,0.040565876
21,1,TNF-a,Duodenum,-0.977101758,0.071014638
21,2,TNF-a,Prox Jejunum,-1.283469756,0.013955353
21,3,TNF-a,Mid Jejunum,0.16649354,0.056648629
21,4,TNF-a,Dist Jejunum,0.505892511,0.121612555
21,5,TNF-a,Ileum,1.225234115,0.150215027
21,6,TNF-a,Colon,-0.504958267,0.099969516
